"author_name","university_name"
"Aaron M. Ellison","Harvard University"
"Alicia Eugene","Harvest Community Sector Consulting"
"Martin Taraz","Hasso Plattner Institute"
"Lukas Rambold","Hasso Plattner Institute"
"Robert Kovacs","Hasso Plattner Institute"
"Conrad Lempert","Hasso Plattner Institute"
"Muhammad Abdullah","Hasso Plattner Institute"
"Helena Lendowski","Hasso Plattner Institute"
"Lukas Fritzsche","Hasso Plattner Institute"
"Patrick Baudisch","Hasso Plattner Institute"
"Shama Rahman","Hasso-Plattner-Institute"
"Rudi Giot","HE2B-ISIB"
"Yu Jun Yeh","Heavenue"
"Yue Zhang","Hebei GEO University"
"Marine Agogué","HEC Montréal"
"Gareth Owens","Hellenic Mediterranean University"
"Stella Paschalidou","Hellenic Mediterranean University"
"Veroniki Korakidou","Hellenic Open University"
"Stella Sylaiou","Hellenic Open University"
"Diaa Ahmed Mohamed Ahmedien","Helwan University"
"Ruth Aylett","Heriot-Watt University"
"Flavio Noca","HES-SO University of Applied Sciences and Arts Western Switzerland"
"Damian Dziwis","HfM Detmold"
"Aristotelis Hadjakos","HfM Detmold"
"Hao He","Hi-tech Research Institute of Qingzhou"
"Ting Yao","HiDream.ai Inc."
"Tao Mei","HiDream.ai Inc."
"Martin Calvino","Highland Park"
"Anju Niwata","Hiroshima Jogakuin Senior High School"
"Anne Nigten","HKU University of the Arts Utrecht"
"Michael Heidt","Hochschule Anhalt"
"Arne Berger","Hochschule Anhalt"
"Pablo Somonte Ruano","Hochschule für Künste Bremen"
"Roberto Alonso Trillo","Hong Kong Baptist University"
"Peter Nelson","Hong Kong Baptist University"
"Marija Todorova","Hong Kong Baptist University"
"Giovanni Santini","Hong Kong Baptist University"
"Ka Chi Chan","Hong Kong Baptist University"
"James Shea","Hong Kong Baptist University"
"Gyung Jin Shin","Hong Kong Baptist University"
"Carloalberto Treccani","Hong Kong Baptist University"
"Tak Cheung Hui","Hong Kong Metropolitan University"
"Shengdan Cai","Hong Kong Shue Yan University"
"Irene Eunyoung Lee","Hoseo University"
"Bjorn Beijnon","HU University of Applied Sciences Utrecht"
"Rasa Weber","Humboldt University of Berlin"
"Ksenia Fedorova","Humboldt University of Berlin"
"Christian Stein","Humboldt University of Berlin"
"Elena Demidova","Humboldt University of Berlin"
"Jianxin Lin","Hunan University"
"Qing Liang","Hunan University"
"Yijun Wang","Hunan University"
"Linqi Wang","Hunan University"
"Junyan Lv","Hunan University"
"Mohan Zhang","Hunan University"
"Shenglan Cui","Hunan University"
"Baosheng Wang","Hunan University"
"Boai Yang","Hunan University"
"Fang Liu","Hunan University"
"Wei Huang","Hunan University"
"Jiabao Li","Hunan University of Technology"
"Connor Courtien","Hunter College"
"Ronald Sluijter","Huygens Institute for the History of the Netherlands"
"Marijn Koolen","Huygens Institute for the History of the Netherlands"
"Joris Oddens","Huygens Institute for the History of the Netherlands"
"Rik Hoekstra","Huygens Institute for the History of the Netherlands"
"Elizabeth Sikiaridi","Hybrid Space Lab"
"Frans Vogelaar","Hybrid Space Lab"
"Daniela de Paulis","IAA SETI Permanent Committee"
"Carmen Ng","IamArtMap"
"Yusuke Gushiken","IAMAS"
"Kiyu Nishida","IAMAS"
"Akira Segawa","IAMAS"
"Ryota Kuwakubo","IAMAS"
"Nicola Privato","Iceland University of the Arts"
"Andrew McPherson","Iceland University of the Arts"
"Halldor Ulfarsson","Iceland University of the Arts"
"Victor Shepardson","Iceland University of the Arts"
"Sophie Skach","Iceland University of the Arts"
"Halldór Úlfarsson","Iceland University of the Arts"
"Einar Torfi Einarsson","Iceland University of the Arts"
"Jack Armitage","Iceland University of the Arts"
"Thor Magnusson","Iceland University of the Arts"
"Alan Tan","Idyll Collective"
"Megan Vo","Idyll Collective"
"Caterina Cucinotta","IHC FCSH NOVA de Lisboa"
"Kyzyl Monteiro","IIIT-Delhi"
"Shagun Chib","IIM Indore"
"Manoj Kumar Kamila","IIM Indore"
"Eduard Solaz","IKLECTIK"
"Eeman Al-Zubeidi","Illinois State University"
"Zétény Nagy","Illinois State University"
"Kristin Carlson","Illinois State University"
"Greg Corness","Illinois State University"
"Annie Sungkajun","Illinois State University"
"K Carlson","Illinois State University"
"Greg J Corness","Illinois State University"
"Adrian David Cheok","Imagineering Institute"
"Timothy Thomasson","Immersive Arts Space"
"Matthew Davison","Imperial College London"
"Andrew McPherson","Imperial College London"
"Giovanni Biglino","Imperial College London"
"Chao Ying Qin","Imperial College London"
"Andrew MacPherson","Imperial College London"
"Andrew P. McPherson","Imperial College London"
"Christina Komesker","imui e.V."
"Irina Schmidt","imui e.V."
"Andreas Förster","imui e.V."
"Mathias Komesker","imui e.V."
"Nadia Abdelaziz","In Between Time"
"Stefan Püst","Independent Researcher/Artist"
"Sean Soraghan","Independent Researcher/Artist"
"Donna Davis","Independent Researcher/Artist"
"Florian Jenett","Independent Researcher/Artist"
"Aminder Virdee","Independent Researcher/Artist"
"Bruce Wands","Independent Researcher/Artist"
"Rodrigo Azaola","Independent Researcher/Artist"
"Cooper Galvin","Independent Researcher/Artist"
"Unassociated (no affiliation)","Independent Researcher/Artist"
"Slavs and Tatars Collective","Independent Researcher/Artist"
"Beatriz Malveiro","Independent Researcher/Artist"
"Alberto Boem","Independent Researcher/Artist"
"Sheila Pinkel","Independent Researcher/Artist"
"Ximena Alarcon","Independent Researcher/Artist"
"Filippo Angeloni","Independent Researcher/Artist"
"Mayra Citlalli Gómez Rojo","Independent Researcher/Artist"
"Marc Boucher","Independent Researcher/Artist"
"Sidney Fels","Independent Researcher/Artist"
"Beat Rossmy","Independent Researcher/Artist"
"Alexandre Delmar","Independent Researcher/Artist"
"Shinpei Takeda","Independent Researcher/Artist"
"Elena Georgieva","Independent Researcher/Artist"
"Luong Hue Trinh","Independent Researcher/Artist"
"Sabina Hyoju Ahn","Independent Researcher/Artist"
"Clea T. Waite, Ph.D.","Independent Researcher/Artist"
"Phongtharin Vinayavekhin","Independent Researcher/Artist"
"Raewyn Turner","Independent Researcher/Artist"
"Olivia Ting","Independent Researcher/Artist"
"John Bowers","Independent Researcher/Artist"
"Miriam Simun","Independent Researcher/Artist"
"Michael Punt","Independent Researcher/Artist"
"Martin Matus Lerner","Independent Researcher/Artist"
"Luca Forcucci","Independent Researcher/Artist"
"Jana Rusch","Independent Researcher/Artist"
"Chris Kiefer","Independent Researcher/Artist"
"Welly O'Brien","Independent Researcher/Artist"
"Carly Whitaker","Independent Researcher/Artist"
"Clea T. Waite","Independent Researcher/Artist"
"Sam Trolland","Independent Researcher/Artist"
"Kevin Gotkin","Independent Researcher/Artist"
"Ellen K. Levy","Independent Researcher/Artist"
"Catherine Bowman","Independent Researcher/Artist"
"Ciaran Frame","Independent Researcher/Artist"
"Yuval Harel","Independent Researcher/Artist"
"Cesar & Lois","Independent Researcher/Artist"
"Cecilia Avelar","Independent Researcher/Artist"
"Robert Maddox-Harle","Independent Researcher/Artist"
"Angela Brennecke","Independent Researcher/Artist"
"Julia Heurling","Independent Researcher/Artist"
"Asami Takami","Independent Researcher/Artist"
"Jamie Webber","Independent Researcher/Artist"
"David Doutel","Independent Researcher/Artist"
"Hans Leeuw","Independent Researcher/Artist"
"Ruth Baker","Independent Researcher/Artist"
"Ziyue Piao","Independent Researcher/Artist"
"Jieliang Luo","Independent Researcher/Artist"
"Annick Bureaud","Independent Researcher/Artist"
"Ge Wang","Independent Researcher/Artist"
"Karen Kelsky","Independent Researcher/Artist"
"Vasco Sá","Independent Researcher/Artist"
"Agustín Ortiz Herrera","Independent Researcher/Artist"
"Arantza Vilas","Independent Researcher/Artist"
"Gershon Dublon","Independent Researcher/Artist"
"Dan Overholt","Independent Researcher/Artist"
"Suso Romarís Lens","Independent Researcher/Artist"
"Stephen Paff","Independent Researcher/Artist"
"Alon Ilsar","Independent Researcher/Artist"
"Victoria Hilsberg","Independent Researcher/Artist"
"Juan Pablo Martinez Avila","Independent Researcher/Artist"
"Franziska Schroeder","Independent Researcher/Artist"
"Ryan Challinor","Independent Researcher/Artist"
"Aleksandra Shatskikh","Independent Researcher/Artist"
"Jeffrey Durham","Independent Researcher/Artist"
"Milton Riaño","Independent Researcher/Artist"
"Roger B. Dannenberg","Independent Researcher/Artist"
"Anne Hege","Independent Researcher/Artist"
"Elli Kuruş","Independent Researcher/Artist"
"Victor Paredes","Independent Researcher/Artist"
"Yiannis Kranidiotis","Independent Researcher/Artist"
"Giacomo Lepri","Independent Researcher/Artist"
"Simon Howden","Independent Researcher/Artist"
"Max Sims","Independent Researcher/Artist"
"Paul Dietz","Independent Researcher/Artist"
"Bob Pritchard","Independent Researcher/Artist"
"Xiaojiao Chen","Independent Researcher/Artist"
"Ysolde Stienon","Independent Researcher/Artist"
"M. Eugenia Demeglio","Independent Researcher/Artist"
"Liliana Farber","Independent Researcher/Artist"
"Agnieszka Mendel","Independent Researcher/Artist"
"Beate Peter","Independent Researcher/Artist"
"Xin Liu","Independent Researcher/Artist"
"Greenman Muleh Mbillo","Independent Researcher/Artist"
"Carla Sophie Tapparo","Independent Researcher/Artist"
"Konstantina Angeletou","Independent Researcher/Artist"
"Sungeun Lee","Independent Researcher/Artist"
"Oliver Case","Independent Researcher/Artist"
"Inês Néves","Independent Researcher/Artist"
"Dario Villanueva Ablanedo","Independent Researcher/Artist"
"Jiann Hughes","Independent Researcher/Artist"
"Damian Mills","Independent Researcher/Artist"
"Michael Quigley","Independent Researcher/Artist"
"Robin Foster","Independent Researcher/Artist"
"Christian Nold","Independent Researcher/Artist"
"Allison Leigh Holt","Independent Researcher/Artist"
"Frederic Bevilacqua","Independent Researcher/Artist"
"Jan Baetens","Independent Researcher/Artist"
"Erica Deluchi","Independent Researcher/Artist"
"Nick Bryan-Kinns","Independent Researcher/Artist"
"Notto J. W. Thelle","Independent Researcher/Artist"
"Isabel Burr-Raty","Independent Researcher/Artist"
"Nicole Jacobus","Independent Researcher/Artist"
"João Tragtenberg","Independent Researcher/Artist"
"Boris Shershenkov","Independent Researcher/Artist"
"Ilan Manouach","Independent Researcher/Artist"
"Zane Gillespie","Independent Researcher/Artist"
"Nelson J. Diaz","Independent Researcher/Artist"
"Alejandro Rodriguez","Independent Researcher/Artist"
"Claire Elisabeth Ohlenschlager","Independent Researcher/Artist"
"Hyemi Song","Independent Researcher/Artist"
"Daniele Duranti","Independent Researcher/Artist"
"Ted Moore","Independent Researcher/Artist"
"Mizuho Kappa","Independent Researcher/Artist"
"Razzly","Independent Researcher/Artist"
"Sofie Layton","Independent Researcher/Artist"
"Torben Körschkes","Independent Researcher/Artist"
"Louis Daumard","Independent Researcher/Artist"
"Yann Blanchi","Independent Researcher/Artist"
"Laura Reid","Independent Researcher/Artist"
"Vivian Reuter","Independent Researcher/Artist"
"Lauren Bon","Independent Researcher/Artist"
"Louise Mackenzie","Independent Researcher/Artist"
"Barbara Benish","Independent Researcher/Artist"
"Elisabeth Schwartz","Independent Researcher/Artist"
"Melania Jack","Independent Researcher/Artist"
"Toby Gifford","Independent Researcher/Artist"
"William Payne","Independent Researcher/Artist"
"Elia Vargas","Independent Researcher/Artist"
"Alex Young","Independent Researcher/Artist"
"Claudio Filho","Independent Researcher/Artist"
"Sita Popat Taylor","Independent Researcher/Artist"
"Toni Fröhlich","Independent Researcher/Artist"
"Masha Zolotova","Independent Researcher/Artist"
"Jon McCormack","Independent Researcher/Artist"
"Frances Liddell","Independent Researcher/Artist"
"Gregory Tague","Independent Researcher/Artist"
"Tiange Wang","Independent Researcher/Artist"
"Jorge Olivares-Retamal","Independent Researcher/Artist"
"Marina Tsaplina","Independent Researcher/Artist"
"Paulo Simão","Independent Researcher/Artist"
"Mauro Toselli","Independent Researcher/Artist"
"Stephen Partridge","Independent Researcher/Artist"
"Brian Harris","Independent Researcher/Artist"
"Bosco Shaw","Independent Researcher/Artist"
"Jack Tait","Independent Researcher/Artist"
"Renée Ridgway","Independent Researcher/Artist"
"johnsmith","Independent Researcher/Artist"
"Chenhang Cheng","Independent Researcher/Artist"
"Hugo Solís García","Independent Researcher/Artist"
"Emma Wood","Independent Researcher/Artist"
"Itziar Barrio","Independent Researcher/Artist"
"Paul Lim","Independent Researcher/Artist"
"Rita Costa","Independent Researcher/Artist"
"Mark Storor","Independent Researcher/Artist"
"Elliott Wilson","Independent Researcher/Artist"
"Sara Bonaventura","Independent Researcher/Artist"
"Andy Slater","Independent Researcher/Artist"
"Alex Champagne","Independent Researcher/Artist"
"Lena Gieseke","Independent Researcher/Artist"
"Alberto Valverde","Independent Researcher/Artist"
"Jiin Ko","Independent Researcher/Artist"
"Peter Anders","Independent Researcher/Artist"
"Maximilian Kriegleder","Independent Researcher/Artist"
"Rogier Arents","Independent Researcher/Artist"
"Alice Eldridge","Independent Researcher/Artist"
"Richard Lowenberg","Independent Researcher/Artist"
"Barbara Amelia King","Independent Researcher/Artist"
"Dr Theo Harper","Independent Researcher/Artist"
"Aaron J Juarez","Independent Researcher/Artist"
"ORLAN","Independent Researcher/Artist"
"Rewa Wright","Independent Researcher/Artist"
"Camille Nou","Independent Researcher/Artist"
"Tord Bremnes","Independent Researcher/Artist"
"Adam Pultz Melbye","Independent Researcher/Artist"
"Dejan Grba","Independent Researcher/Artist"
"Nicole Robson","Independent Researcher/Artist"
"Janina Janke","Independent Researcher/Artist"
"Lorenz Schwarz","Independent Researcher/Artist"
"Yinmiao Li","Independent Researcher/Artist"
"Xin Feng","Independent Researcher/Artist"
"Louise Sundararajan","Independent Researcher/Artist"
"Jules Françoise","Independent Researcher/Artist"
"Julia Rédei","Independent Researcher/Artist"
"Louise Foo","Independent Researcher/Artist"
"Frankie Jenner","Independent Researcher/Artist"
"Pat Badani","Independent Researcher/Artist"
"J R Carpenter","Independent Researcher/Artist"
"Jimmy Eadie","Independent Researcher/Artist"
"Indira Allegra","Independent Researcher/Artist"
"John Richards","Independent Researcher/Artist"
"Kiona Hagen Niehaus","Independent Researcher/Artist"
"Rene G. Cepeda","Independent Researcher/Artist"
"Philippe Pasquier","Independent Researcher/Artist"
"Danielle Siembieda","Independent Researcher/Artist"
"Elizabeth Day","Independent Researcher/Artist"
"Pauline Vierne","Independent Researcher/Artist"
"John D'Arcy","Independent Researcher/Artist"
"Joel Gähwiler","Independent Researcher/Artist"
"Allan Graubard","Independent Researcher/Artist"
"Daniel Jones","Independent Researcher/Artist"
"Matthew Kaney","Independent Researcher/Artist"
"Vincent Ruijters","Independent Researcher/Artist"
"John F. Barber","Independent Researcher/Artist"
"João Gonzalez","Independent Researcher/Artist"
"Sandeep Virdi","Independent Researcher/Artist"
"Halldor Ulfarsson","Independent Researcher/Artist"
"Lingdong Huang","Independent Researcher/Artist"
"Michael Maizels","Independent Researcher/Artist"
"Alexandros Drymonitis","Independent Researcher/Artist"
"Je-ho Oh","Independent Researcher/Artist"
"Andrew McPherson","Independent Researcher/Artist"
"Michał Seta","Independent Researcher/Artist"
"Brad Hammond","Independent Researcher/Artist"
"Chris Chronopoulos","Independent Researcher/Artist"
"Jaime Lobato","Independent Researcher/Artist"
"Jerónimo Rajchenberg Ceceña","Independent Researcher/Artist"
"Suraj Jaiswal","Indian Institute of Technology Kanpur"
"Vipul Arora","Indian Institute of Technology Kanpur"
"Mahesh Krishna","Indian Institute of Technology Roorkee"
"Nagendra Kumar","Indian Institute of Technology Roorkee"
"Youngsuk Lee","Indiana University"
"Gilberto Bernardes","INESC TEC"
"Carla Teixeira Lopes","INESC-TEC"
"Chu-Yin Chen","INREV Laboratory"
"Nefeli Georgakopoulou","INREV Laboratory"
"Dionysios Zamplaras","INREV Laboratory"
"Sofia Kourkoulakou","INREV Laboratory"
"Rémi Ronfard","Inria"
"Wendy E Mackay","Inria"
"Wendy Mackay","Inria"
"Ruth Schmidt","INRS"
"Marek Blottiere","INRS"
"Maxime Popoff","INSA Lyon"
"Tanguy Risset","INSA Lyon"
"Yvain Quéau","Institut de Recherche en Informatique de Toulouse"
"Jean Denis Durou","Institut de Recherche en Informatique de Toulouse"
"Jean Mélou","Institut de Recherche en Informatique de Toulouse"
"Hugo Pauget Ballesteros","Institut de Recherche en Informatique de Toulouse"
"Gilles Azzaro","Institut de Recherche en Informatique de Toulouse"
"Federico Nurra","Institut national d'histoire de l'art (INHA)"
"Desiree Foerster","Institute for Arts & Media"
"Marc Teyssier","Institute for Future Technologies"
"Vivien Roussel","Institute for Future Technologies"
"Clemena Antonova","Institute for Human Sciences"
"Clemena Antonova","Institute for Human Sciences, Vienna"
"Colin Clark","Institute for Research and Development on Inclusion and Society"
"Shigeru Matsui","Institute of Advanced Media Arts and Sciences"
"Masayuki Akamatsu","Institute of Advanced Media Arts and Sciences"
"Yasuko Imura","Institute of Advanced Media Arts and Sciences"
"Lingyun Yu","Institute of Artificial Intelligence, Hefei Comprehensive National Science Center"
"Changsheng Xu","Institute of Automation, Chinese Academy of Sciences"
"Weiming Dong","Institute of Automation, Chinese Academy of Sciences"
"Jintao Li","Institute of Computing Technology, Chinese Academy of Sciences"
"Xingzhong Hou","Institute of Computing Technology, Chinese Academy of Sciences"
"Boxiao Liu","Institute of Computing Technology, Chinese Academy of Sciences"
"Shuai Zhang","Institute of Computing Technology, Chinese Academy of Sciences"
"Juan Cao","Institute of Computing Technology, Chinese Academy of Sciences"
"Guang Yang","Institute of Computing Technology, Chinese Academy of Sciences"
"Haihang You","Institute of Computing Technology, Chinese Academy of Sciences"
"Zite Jiang","Institute of Computing Technology, Chinese Academy of Sciences"
"Xiaoyan Gu","Institute of Information Engineering, Chinese Academy of Sciences"
"Valentina V Bartalesi","Institute of Information Science and Technologies “Alessandro Faedo” (ISTI), National Research Council (CNR)"
"Nicolo’ Pratelli","Institute of Information Science and Technologies “Alessandro Faedo” (ISTI), National Research Council (CNR)"
"Emanuele Lenzi","Institute of Information Science and Technologies “Alessandro Faedo” (ISTI), National Research Council (CNR)"
"David Britton","Intermedia Projects, Inc."
"Sebastian Rosenzweig","International Audio Laboratories Erlangen"
"Meinard Müller","International Audio Laboratories Erlangen"
"Rabia Malik","International Islamic University Islamabad"
"Xana Morales-Caruncho","International University of La Rioja"
"G Papaioannou","Ionian University"
"Sofia Vlachou","Ionian University"
"Styliani Anna Klimatsaki","Ionian University"
"Michail Panagopoulos","Ionian University"
"Andreas Giannakoulopoulos","Ionian University"
"Dalila Honorato","Ionian University"
"Curtis Ullerich","Iowa State University"
"Johnny DiBlasi","Iowa State University"
"Akshay Sharma","Iowa State University"
"Ângelo Neto","IPL - Escola Superior de Dança"
"Joel Mansour","IPSec Pty Ltd"
"Emma Frid","IRCAM"
"Jerome Nika","Ircam"
"Diemo Schwarz","Ircam"
"Frédéric Bevilacqua","Ircam–CNRS–SU"
"Wanyu Liu","Ircam–CNRS–SU"
"Diemo Schwarz","Ircam–CNRS–SU"
"Gwendal Le Vaillant","IRISIB Lab"
"Patrícia Arriaga","ISCTE - Instituto Universitário de Lisboa"
"Wim van der Plas","ISEA Symposium Archives"
"Rossano Schifanella","ISI Foundation"
"David Behar","Israel Institute of Technology"
"Lior Arbel","Israel Institute of Technology"
"Elif Kucuksayrac","Istanbul Technical University"
"Seçkin Maden","Istanbul Technical University"
"Konstantinos Vasilakos","Istanbul Technical University"
"Roberta Ferrario","ISTC-CNR"
"Angelo Mario del Grosso","Istituto di Linguistica Computazionale “A. Zampolli”, CNR"
"Valeria Quochi","Istituto di Linguistica Computazionale “A. Zampolli”, CNR"
"Michele Emmer","Istituto Veneto di Scienze, Lettere ed Arti"
"Jonas Fritsch","IT University"
"Mia F Yates","IT University of Copenhagen"
"Sebastian Risi","IT University of Copenhagen"
"Matthias Anton Freiberger","IT University of Copenhagen"
"Rosemary Lee","IT University of Copenhagen"
"Vasiliki Tsaknaki","IT University of Copenhagen"
"Louie Søs Meyer","IT University of Copenhagen"
"Gopinaath Kannabiran","IT University of Copenhagen"
"Petros Ioannidis","IT University of Copenhagen"
"Jonas Fritsch","IT University of Copenhagen"
"Nanna Inie","IT University of Copenhagen"
"Doga Cavdir","IT University of Copenhagen"
"Peter Kun","IT University of Copenhagen"
"Anders Sundnes Løvlie","IT University of Copenhagen"
"Anitamalina Regitse Tranberg","IT University of Copenhagen"
"Johanne Engel Aaen","IT University of Copenhagen"
"Ziggy O’Reilly","Italian Institute of Technology"
"Ziggy O'Reilly","Italian Institute of Technology"
"Nuno N. Correia","ITI/LARSyS"
"Pedro Ângelo","ITI/LARSyS"
"Mónica Mendes","ITI/LARSyS"
"Joana Resende","ITI/LARSyS"
"Prof. Dr. Patrícia Gouveia","ITI/LARSyS"
"Dr. Luciana Lima","ITI/LARSyS"
"Diana Carvalho","ITI/LARSyS"
"Anna Unterholzner","ITI/LARSyS"
"Valentina Nisi","ITI/LARSyS"
"Vanessa Cesário","ITI/LARSyS"
"Terhi Marttila","ITI/LARSyS"
"Luciana Lima","ITI/LARSyS"
"Daniel Zeidler","IXLAB"
"Meg McGinity","IXLAB"
"Isabel Wünsche","Jacobs University"
"Kinga Anna Gajda","Jagiellonian University"
"Natalia Anna Michna","Jagiellonian University in Kraków"
"Sahil Singh Jasrotia","Jaipuria Institute of Management"
"Elizabeth Jameson","Jameson Fine Art"
"Catherine Monahon","Jameson Fine Art"
"Jiří Suchánek","Janáček Academy of Music and Performing Arts"
"Philippe P Codognet","Japanese-French Laboratory for Informatics (JFLI), CNRS"
"Meng Chen","JD AI"
"Shaozu Yuan","JD AI"
"Ruixue Liu","JD AI"
"Xiaodong He","JD AI"
"Wu Liu","JD Explore Academy"
"Xinchen Liu","JD Explore Academy"
"Dan Bouhnik","Jerusalem College of Technology"
"Chaya Liebeskind","Jerusalem College of Technology"
"Shmuel Liebeskind","Jerusalem College of Technology"
"Tianqin Zhang","Jiangnan University"
"Ruimin Lyu","Jiangnan University"
"Wenguang Xu","Jiangnan University"
"Junlin Zhu","Jiangnan University"
"Zhaolin Yuan","Jiangnan University"
"Juanjuan Long","Jiangnan University"
"Yingjing Duan","Jiangnan University"
"Wenxuan Zhao","Jiangnan University"
"Yang Chi","Jilin University"
"Hao Xu","Jilin University"
"Xiaomin Li","Jilin University"
"Hao Xing","Jilin University"
"Fan Tang","Jilin University"
"Daqian Shi","Jilin University"
"Lida Shi","Jilin University"
"Chuntao Li","Jilin University"
"Pengfei Yu","Jingchu University of Technology"
"Daniela Brill","Johannes Kepler University"
"Claudia Schnugg","Johannes Kepler University"
"Christian Stary","Johannes Kepler University"
"Yoojin Oh","Johannes Kepler University Linz"
"Bryan Jacobs","Johns Hopkins University"
"Arthur Paté","JUNIA"
"Paul Cambourian","JUNIA"
"Junya Taguchi","Junya Taguchi Photography Office"
"İpek Yeginsu","Kadir Has University"
"Sabri Gokmen","Kadir Has University"
"Ezgi Tuncer","Kadir Has University"
"Katharina Bossmann","Kansas State University"
"Jose Covarrubias","Kansas State University"
"Jason Scuilla","Kansas State University"
"Asanka S. Yapa","Kansas State University"
"Stefan H. Bossmann","Kansas State University"
"Benjamin Ingle","Kansas State University"
"Reza Maalek","Karlsruhe Institute of Technology"
"Thomas Gengenbach","Karlsruhe Institute of Technology"
"Duncan Menzies","Keda Music Inc."
"Kuljit Bhamra","Keda Music Inc."
"Laurel Pardue","Keda Music Inc."
"Graham England","Keda Music Inc."
"Phil Eddershaw","Keda Music Inc."
"Ji Won Yoon","Keimyung University"
"Aoi Uyama","Keio University"
"Masa Inakage","Keio University"
"Kai Kunze","Keio University"
"Ayesha Nabila","Keio University"
"Giulia Barbareschi","Keio University"
"Yurui Xie","Keio University"
"Nao Tokui","Keio University"
"Ryo Nishikado","Keio University"
"Atsuya Kobayashi","Keio University"
"Dingding Zheng","Keio University"
"Kouta Minamizawa","Keio University"
"Tatsuya Saito","Keio University"
"Danny Hynds","Keio University"
"George Chernyshov","Keio University"
"Joung Min Han","Keio University"
"Reo Anzai","Keio University"
"Nicolas Kendall-Bar","Kendall-Bar Studios"
"Jessica Kendall-Bar","Kendall-Bar Studios"
"L P Coladangelo","Kent State University"
"Ghada Amoudi","King Abdulaziz University"
"Sara Alzahrani","King Abdulaziz University"
"Fatimah Alruwaili","King Abdulaziz University"
"Dimah Alahmadi","King Abdulaziz University"
"Amal Almansour","King Abdulaziz University"
"Ernesto Taborda-Hernández","King Juan Carlos University"
"Manuel Gértrudix-Barrio","King Juan Carlos University"
"Mario Rajas Fernández","King Juan Carlos University"
"José Luis Rubio-Tamayo","King Juan Carlos University"
"Alexander Refsum Jensenius","King Mongkut’s Institute of Technology Ladkrabang"
"Fabio Morreale","King Mongkut’s Institute of Technology Ladkrabang"
"Nadav Drukker","King's College London"
"Ali Hossaini","King's College London"
"Kejiang Qian","King's College London"
"Courtney N Reed","King's College London"
"Elaine Chew","King's College London"
"Andrea Ballatore","King's College London"
"Marta Musso","King's College London"
"Jen Wong","King's College London"
"Cristina A. G. Kiminami","King's College London"
"Kris De Meyer","King's College London"
"Michael Cook","King's College London"
"Mike Duggan","King's College London"
"Makayla M Lewis","Kingston University"
"John Miers","Kingston University"
"Maria Chatzichristodoulou","Kingston University"
"Oded Ben Tal","Kingston University"
"Oded Ben-Tal","Kingston University"
"Luka Aron","KMH Royal College of Music"
"Hennie Brugman","KNAW Humanities Cluster"
"Rutger Van Koert","KNAW Humanities Cluster"
"Gijsjan Brouwer","KNAW Humanities Cluster"
"Marieke van Erp","KNAW Humanities Cluster DHLab"
"James Morgan","KnownOrigin.io"
"Akira Nakayasu","Kobe Design University"
"Natalia Kolodzei","Kolodzei Art Foundation"
"Sebastian Gatz","Konstfack"
"Sevde Gülizar Dinçer","Konya Food and Agriculture University"
"Mustafa Korumaz","Konya Technical University"
"Tiffany Lee","Kookmin University"
"Sang-Hyun Lee","Korea Advanced Institute of Science and Technology"
"Hyeon-Jeong Suk","Korea Advanced Institute of Science and Technology"
"Taesu Kim","Korea Advanced Institute of Science and Technology"
"Min Kyoung Park","Korea Advanced Institute of Science and Technology"
"Seung Hyeon Han","Korea Advanced Institute of Science and Technology"
"HyeonBeom Yi","Korea Advanced Institute of Science and Technology"
"Lik-Hang Lee","Korea Advanced Institute of Science and Technology"
"Yujin Lee","Korea Advanced Institute of Science and Technology"
"Tek-Jin Nam","Korea Advanced Institute of Science and Technology"
"Yunwoo Jeong","Korea Advanced Institute of Science and Technology"
"Seoyeon Jang","Korea Advanced Institute of Science and Technology"
"Youngjun Choi","Korea Advanced Institute of Science and Technology"
"Chung-Kon Shi","Korea Advanced Institute of Science and Technology"
"Ji Young Jun","Korea Advanced Institute of Science and Technology"
"Conor O’Malley","Korea Advanced Institute of Science and Technology"
"Kyung Taek Oh","Korea Advanced Institute of Science and Technology"
"Hyeseung Shim","Korea Advanced Institute of Science and Technology"
"Woohun Lee","Korea Advanced Institute of Science and Technology"
"Jiwoo Hong","Korea Advanced Institute of Science and Technology"
"Young Sang Cho","Korea Advanced Institute of Science and Technology"
"Yoonjoo Lee","Korea Advanced Institute of Science and Technology"
"Byungjoo Lee","Korea Advanced Institute of Science and Technology"
"Chang Hee Lee","Korea Advanced Institute of Science and Technology"
"Daniel Pieter Saakes","Korea Advanced Institute of Science and Technology"
"Doyo Choi","Korea Advanced Institute of Science and Technology"
"Hayun Kim","Korea Advanced Institute of Science and Technology"
"Hwajung Hong","Korea Advanced Institute of Science and Technology"
"Hyoungwook Jin","Korea Advanced Institute of Science and Technology"
"Hyunjung Kim","Korea Advanced Institute of Science and Technology"
"Jae-eun Shin","Korea Advanced Institute of Science and Technology"
"Jinjoon Lee","Korea Advanced Institute of Science and Technology"
"Woontack Woo","Korea Advanced Institute of Science and Technology"
"Taejun Kim","Korea Advanced Institute of Science and Technology"
"Joon Hyub Lee","Korea Advanced Institute of Science and Technology"
"Joonhyung Bae","Korea Advanced Institute of Science and Technology"
"Jooyoung Oh","Korea Advanced Institute of Science and Technology"
